PRODUCT_CODE,PRODUCT_NAME,PRODUCT_PRICE,DISCOUNT_PRICE,DISCOUNT_RATE,PRODUCT_LINK
60,RiRe luxe Gel Eyeliner 0.5g,8.35,3.67,56% OFF,https://jolse.com/product/rire-luxe-gel-eyeliner-05g/17634/category/4722/display/1/
61,MISSHA Cotton Blusher,10.66,3.89,64% OFF,https://jolse.com/product/missha-cotton-blusher/14232/category/4722/display/1/
62,A'PIEU Juicy Pang Water Blusher 9g,15.00,7.49,50% OFF,https://jolse.com/product/apieu-juicy-pang-water-blusher-9g/13073/category/4722/display/1/
63,hince Vita Barrier Nourishing Lip Oil 4.5ml,16.00,7.29,54% OFF,https://jolse.com/product/hince-vita-barrier-nourishing-lip-oil-45ml/83180/category/4722/display/1/
64,INGA Stage Brow Pencil 0.2g,10.00,4.99,50% OFF,https://jolse.com/product/inga-stage-brow-pencil-02g/82720/category/4722/display/1/
65,ETUDE Dear Darling Water Tint 9g,8.30,7.05,15% OFF,https://jolse.com/product/etude-dear-darling-water-tint-9g/66628/category/4722/display/1/
66,BBIA Ready To Wear Eye Shadow 3g,8.81,4.49,49% OFF,https://jolse.com/product/bbia-ready-to-wear-eye-shadow-3g/64171/category/4722/display/1/
67,VT Essence Sun Pact SPF50+ PA+++ 11g,14.21,12.79,10% OFF,https://jolse.com/product/vt-essence-sun-pact-spf50-pa-11g/60888/category/4722/display/1/
68,2aN Long & Curling Mascara 7.5g #Choco Brown,19.00,5.89,69% OFF,https://jolse.com/product/2an-long-curling-mascara-75g-choco-brown/55988/category/4722/display/1/
69,ETUDE Lovely Cookie Blusher 4g,7.70,5.39,30% OFF,https://jolse.com/product/etude-lovely-cookie-blusher-4g/52760/category/4722/display/1/
70,HOLIKA HOLIKA Heartcrush Glow Tint Air 3g,15.16,6.97,54% OFF,https://jolse.com/product/holika-holika-heartcrush-glow-tint-air-3g/40018/category/4722/display/1/
71,BBIA Last Blush 2.5g,7.00,3.78,46% OFF,https://jolse.com/product/bbia-last-blush-25g/26821/category/4722/display/1/
72,JAVIN DE SEOUL WINK EYE SHIMMER LIGHT 6g,18.00,6.99,61% OFF,https://jolse.com/product/javin-de-seoul-wink-eye-shimmer-light-6g/83369/category/4722/display/1/
73,Peripera All Take Mood Like Palette,28.00,23.80,15% OFF,https://jolse.com/product/peripera-all-take-mood-like-palette/79774/category/4722/display/1/
74,Dinto Blur-Jelly Plumping Lip Tint 3.5g,20.00,17.00,15% OFF,https://jolse.com/product/dinto-blur-jelly-plumping-lip-tint-35g/79773/category/4722/display/1/
75,fwee Mellow Dual Blush 7.2g,20.00,16.00,20% OFF,https://jolse.com/product/fwee-mellow-dual-blush-72g/78680/category/4722/display/1/
76,Dinto Be My Wendy Marshmallow & Melting Blusher 6.5g,23.00,10.49,54% OFF,https://jolse.com/product/dinto-be-my-wendy-marshmallow-melting-blusher-65g/76842/category/4722/display/1/
77,2aN Better me Eye palette,23.00,10.99,52% OFF,https://jolse.com/product/2an-better-me-eye-palette/76344/category/4722/display/1/
78,ETUDE Zero Sebum Drying Powder 4g,7.20,6.12,15% OFF,https://jolse.com/product/etude-zero-sebum-drying-powder-4g/75307/category/4722/display/1/
79,thim artist touch shadow duo 0.7g / 0.5g,21.00,7.69,63% OFF,https://jolse.com/product/thim-artist-touch-shadow-duo-07g-05g/66090/category/4722/display/1/
80,BBIA Ready To Wear Downy Cheek 3.5g,12.00,5.39,55% OFF,https://jolse.com/product/bbia-ready-to-wear-downy-cheek-35g/64165/category/4722/display/1/
81,JAVIN DE SEOUL WINK EYE SHADE PRIMER 5.5g,16.00,6.59,59% OFF,https://jolse.com/product/javin-de-seoul-wink-eye-shade-primer-55g/63294/category/4722/display/1/
82,Unleashia Shaper Defining Eyebrow Pencil 0.025g,16.00,13.60,15% OFF,https://jolse.com/product/unleashia-shaper-defining-eyebrow-pencil-0025g/58771/category/4722/display/1/
83,2aN Easy Off Mascara Remover 7g,15.00,7.50,50% OFF,https://jolse.com/product/2an-easy-off-mascara-remover-7g/56383/category/4722/display/1/
84,2aN Long Wearing Foundation 30ml,31.00,11.49,63% OFF,https://jolse.com/product/2an-long-wearing-foundation-30ml/55984/category/4722/display/1/
85,ETUDE Big Cover Skin Fit Concealer Pro 7g,13.00,9.10,30% OFF,https://jolse.com/product/etude-big-cover-skin-fit-concealer-pro-7g/43907/category/4722/display/1/
86,rom&nd Juicy Lasting Tint Bare Juicy 5.5g,13.99,0,0,https://jolse.com/product/romnd-juicy-lasting-tint-bare-juicy-55g/40375/category/4722/display/1/
87,MISSHA Ultra Powerproof Mascara 8g,12.16,6.08,50% OFF,https://jolse.com/product/missha-ultra-powerproof-mascara-8g/20154/category/4722/display/1/
88,A'PIEU Mineral 100 HD Powder 5.5g,13.03,4.69,64% OFF,https://jolse.com/product/apieu-mineral-100-hd-powder-55g/12304/category/4722/display/1/
89,MISSHA Color Fit Stick Shadow 1.1g,11.16,4.46,60% OFF,https://jolse.com/product/missha-color-fit-stick-shadow-11g/11865/category/4722/display/1/
90,MISSHA Smudge Proof Wood Brow,8.66,3.46,60% OFF,https://jolse.com/product/missha-smudge-proof-wood-brow/8612/category/4722/display/1/
91,BRAYE LIPSLEEK 2.3g,21.50,15.05,30% OFF,https://jolse.com/product/braye-lipsleek-23g/83376/category/4722/display/1/
92,JAVIN DE SEOUL WINK CUSHION MATTE POCKET SPF50 PA+++ 8g,20.00,10.49,48% OFF,https://jolse.com/product/javin-de-seoul-wink-cushion-matte-pocket-spf50-pa-8g/83373/category/4722/display/1/
93,eglips Lip & Cheek Glow Balm 5g,17.00,14.45,15% OFF,https://jolse.com/product/eglips-lip-cheek-glow-balm-5g/83278/category/4722/display/1/
94,eglips everglow highlighter 5g,22.00,11.99,46% OFF,https://jolse.com/product/eglips-everglow-highlighter-5g/83275/category/4722/display/1/
95,INGA Blurring Velvet Matte Tint 5.3g,16.00,6.19,61% OFF,https://jolse.com/product/inga-blurring-velvet-matte-tint-53g/82723/category/4722/display/1/
96,INGA Powder Blur Lipstick 3.4g,17.00,6.49,62% OFF,https://jolse.com/product/inga-powder-blur-lipstick-34g/82500/category/4722/display/1/
